data_id,r,duration,method,dataset,length
0,0.18736493088039627,1.2371516227722168,AniSOM,logmap,300
1,0.34469535752269226,1.275317668914795,AniSOM,logmap,300
2,0.26431843062941984,1.5156431198120117,AniSOM,logmap,300
3,0.21589939178534565,1.455482006072998,AniSOM,logmap,300
4,0.2976945071751644,1.3417954444885254,AniSOM,logmap,300
5,0.4096369356816549,1.274205207824707,AniSOM,logmap,300
6,0.4666588077368713,1.2812297344207764,AniSOM,logmap,300
7,0.5918927316238903,1.2251925468444824,AniSOM,logmap,300
8,0.5172850237703922,1.145151138305664,AniSOM,logmap,300
9,0.2061188862375121,1.2556750774383545,AniSOM,logmap,300
10,0.45400419295091343,1.2478528022766113,AniSOM,logmap,300
11,0.30495135504974286,1.150404453277588,AniSOM,logmap,300
12,0.533109981369323,1.2623305320739746,AniSOM,logmap,300
13,0.5600945771630956,1.3004446029663086,AniSOM,logmap,300
14,0.4371739169132601,1.2731008529663086,AniSOM,logmap,300
15,0.4497656036442951,1.214754343032837,AniSOM,logmap,300
16,0.49789304196468015,1.246933937072754,AniSOM,logmap,300
17,0.7160451169764069,1.1515159606933594,AniSOM,logmap,300
18,0.47440740853343005,1.2760303020477295,AniSOM,logmap,300
19,0.5057609230346023,1.1779859066009521,AniSOM,logmap,300
20,0.5629778413675832,1.2524309158325195,AniSOM,logmap,300
21,0.4368541451178446,1.225268840789795,AniSOM,logmap,300
22,0.17561072172537903,1.2569139003753662,AniSOM,logmap,300
23,0.6344286001486923,1.1778295040130615,AniSOM,logmap,300
24,0.5081024249028693,1.2352850437164307,AniSOM,logmap,300
25,0.5222144453936194,1.1179273128509521,AniSOM,logmap,300
26,0.40252789191571764,1.1812360286712646,AniSOM,logmap,300
27,0.49601547532434087,1.304699182510376,AniSOM,logmap,300
28,0.567465060524738,1.317582368850708,AniSOM,logmap,300
29,0.42435820965187837,1.1606478691101074,AniSOM,logmap,300
30,0.24060126612584462,1.2161717414855957,AniSOM,logmap,300
31,0.5437815116113114,1.0861430168151855,AniSOM,logmap,300
32,0.2787703007781027,1.208953857421875,AniSOM,logmap,300
33,0.5673963490239461,1.2287931442260742,AniSOM,logmap,300
34,0.4532845269363195,1.1833930015563965,AniSOM,logmap,300
35,0.5223227892184042,1.145798921585083,AniSOM,logmap,300
36,0.5546811866004439,1.3579330444335938,AniSOM,logmap,300
37,0.22297774503421952,1.2408030033111572,AniSOM,logmap,300
38,0.2880080809881591,1.2196040153503418,AniSOM,logmap,300
39,0.5677907733984218,1.157977819442749,AniSOM,logmap,300
40,0.3412959885910139,1.1112778186798096,AniSOM,logmap,300
41,0.34812148554843947,1.1597511768341064,AniSOM,logmap,300
42,0.3000936466195682,1.2139575481414795,AniSOM,logmap,300
43,0.4909679118829302,1.1112794876098633,AniSOM,logmap,300
44,0.21175078908353046,1.3561639785766602,AniSOM,logmap,300
45,0.3002139991012777,1.1634507179260254,AniSOM,logmap,300
46,0.2672817650732238,1.0963687896728516,AniSOM,logmap,300
47,0.314375340541139,1.052128791809082,AniSOM,logmap,300
48,0.2917521737453831,0.6904337406158447,AniSOM,logmap,300
49,0.2213779641376343,0.6856296062469482,AniSOM,logmap,300
