data_id,r,duration,method,dataset
0,0.6510801206412685,0.06618881225585938,CCA,logmap
1,0.6863966767547245,0.057985782623291016,CCA,logmap
2,0.6553982205237344,0.08567166328430176,CCA,logmap
3,0.6511529219716139,0.0861051082611084,CCA,logmap
4,0.49609450214311934,0.0915825366973877,CCA,logmap
5,0.6290909414565298,0.08977103233337402,CCA,logmap
6,0.5264180720392482,0.08660888671875,CCA,logmap
7,0.7144955821010623,0.08577251434326172,CCA,logmap
8,0.5757632621509496,0.0865485668182373,CCA,logmap
9,0.7317824179067492,0.08604550361633301,CCA,logmap
10,0.5875706956247232,0.08695673942565918,CCA,logmap
11,0.5603225849926379,0.0876307487487793,CCA,logmap
12,0.5729561650617991,0.08751559257507324,CCA,logmap
13,0.5816084503109786,0.08690929412841797,CCA,logmap
14,0.64963662514018,0.08668017387390137,CCA,logmap
15,0.5483253035040284,0.0876474380493164,CCA,logmap
16,0.9516606648068745,0.08985781669616699,CCA,logmap
17,0.6829069253009705,0.08708953857421875,CCA,logmap
18,0.623806716612353,0.0867300033569336,CCA,logmap
19,0.7250796562675913,0.08648014068603516,CCA,logmap
20,0.6381881471841255,0.08630204200744629,CCA,logmap
21,0.7443252162554757,0.0866250991821289,CCA,logmap
22,0.8979503995120672,0.09753298759460449,CCA,logmap
23,0.6580534524127984,0.08391046524047852,CCA,logmap
24,0.4889138711504656,0.0877995491027832,CCA,logmap
25,0.5485427745853368,0.0834345817565918,CCA,logmap
26,0.6818365951082561,0.0840616226196289,CCA,logmap
27,0.6587439691169734,0.08310317993164062,CCA,logmap
28,0.6126006076228249,0.0839841365814209,CCA,logmap
29,0.5483882754365719,0.08330130577087402,CCA,logmap
30,0.6187785241533216,0.08313989639282227,CCA,logmap
31,0.6823229240030035,0.0842738151550293,CCA,logmap
32,0.5511130130011417,0.08347296714782715,CCA,logmap
33,0.8644283770536736,0.08527898788452148,CCA,logmap
34,0.7461641416991325,0.08309793472290039,CCA,logmap
35,0.6731766929162609,0.08292698860168457,CCA,logmap
36,0.6148600042638691,0.08418655395507812,CCA,logmap
37,0.5223849186489237,0.08375406265258789,CCA,logmap
38,0.6702907693761319,0.08352899551391602,CCA,logmap
39,0.6255332434861406,0.08314180374145508,CCA,logmap
40,0.6642146732432241,0.08371543884277344,CCA,logmap
41,0.5498614986086012,0.08436965942382812,CCA,logmap
42,0.6647736460379863,0.08364200592041016,CCA,logmap
43,0.7240981304367587,0.09542059898376465,CCA,logmap
44,0.5411953578573993,0.0840606689453125,CCA,logmap
45,0.46541772249626967,0.0874471664428711,CCA,logmap
46,0.5750485465182528,0.08355522155761719,CCA,logmap
47,0.7166087739033593,0.08379697799682617,CCA,logmap
48,0.7273778359300285,0.08628582954406738,CCA,logmap
49,0.6630204431058685,0.08348965644836426,CCA,logmap
