data_id,r,duration,method,dataset,length
0,0.7232139606159134,2.0831356048583984,DCCA,logmap,8227
1,0.7479312575221465,2.2534632682800293,DCCA,logmap,8227
2,0.7514851276617335,2.240959405899048,DCCA,logmap,8227
3,0.7351733170789979,2.459484577178955,DCCA,logmap,8227
4,0.5979175578615014,1.8011870384216309,DCCA,logmap,8227
5,0.7245875622599737,2.2474594116210938,DCCA,logmap,8227
6,0.6159994192776865,1.9293293952941895,DCCA,logmap,8227
7,0.7869687037213571,2.2817418575286865,DCCA,logmap,8227
8,0.6544050969048785,2.038917064666748,DCCA,logmap,8227
9,0.7833701794083281,2.683159589767456,DCCA,logmap,8227
10,0.6850298700698872,2.3701024055480957,DCCA,logmap,8227
11,0.6649592003050353,1.5622475147247314,DCCA,logmap,8227
12,0.6791072843022063,1.6068518161773682,DCCA,logmap,8227
13,0.6925648308875406,1.9535720348358154,DCCA,logmap,8227
14,0.7426769092351239,2.145521402359009,DCCA,logmap,8227
15,0.6594152721667876,1.9600141048431396,DCCA,logmap,8227
16,0.8590729128620914,2.0625979900360107,DCCA,logmap,8227
17,0.7591316313530817,3.052968740463257,DCCA,logmap,8227
18,0.7106475354979805,2.163273572921753,DCCA,logmap,8227
19,0.794454247762473,2.695600986480713,DCCA,logmap,8227
20,0.7258581130946385,2.1381213665008545,DCCA,logmap,8227
21,0.8049815439963977,2.2942278385162354,DCCA,logmap,8227
22,0.7799895697706258,2.3633296489715576,DCCA,logmap,8227
23,0.7499676175263826,1.983405590057373,DCCA,logmap,8227
24,0.5821922945064524,1.9174761772155762,DCCA,logmap,8227
25,0.6571727204031907,1.8963286876678467,DCCA,logmap,8227
26,0.7558943892587369,2.1657345294952393,DCCA,logmap,8227
27,0.7462310807459089,2.1572933197021484,DCCA,logmap,8227
28,0.7046960409802487,1.8998446464538574,DCCA,logmap,8227
29,0.6575715238156178,2.415487051010132,DCCA,logmap,8227
30,0.7146822665299511,2.208698272705078,DCCA,logmap,8227
31,0.7706736028633875,2.173495054244995,DCCA,logmap,8227
32,0.6404101540017912,1.9769530296325684,DCCA,logmap,8227
33,0.8607155095507038,2.1536943912506104,DCCA,logmap,8227
34,0.8202097065875553,2.192432403564453,DCCA,logmap,8227
35,0.7522438519980768,2.143275499343872,DCCA,logmap,8227
36,0.703497345955346,2.8015050888061523,DCCA,logmap,8227
37,0.6000160016229905,2.4031503200531006,DCCA,logmap,8227
38,0.7268895015629249,2.197693347930908,DCCA,logmap,8227
39,0.7253849299286077,2.0089375972747803,DCCA,logmap,8227
40,0.7473232627530765,2.267003297805786,DCCA,logmap,8227
41,0.6797463672997593,1.9823684692382812,DCCA,logmap,8227
42,0.7381781696700168,2.2622103691101074,DCCA,logmap,8227
43,0.7990190136447037,2.452849864959717,DCCA,logmap,8227
44,0.6423928465660106,2.0828545093536377,DCCA,logmap,8227
45,0.5371811891309614,1.9377295970916748,DCCA,logmap,8227
46,0.6681594377501762,2.214625120162964,DCCA,logmap,8227
47,0.7677415892943652,2.7329108715057373,DCCA,logmap,8227
48,0.7935154363026655,2.472043752670288,DCCA,logmap,8227
49,0.7522982898310018,1.8852570056915283,DCCA,logmap,8227
