data_id,r,duration,method,dataset
0,0.6515188934014959,7.55294942855835,DCCA,logmap
1,0.6879857846285514,3.975846767425537,DCCA,logmap
2,0.657013304581282,3.6999659538269043,DCCA,logmap
3,0.6532584029497998,3.556746006011963,DCCA,logmap
4,0.49700037027647315,2.630242347717285,DCCA,logmap
5,0.6166399860160847,2.335167169570923,DCCA,logmap
6,0.527610598578411,2.599202871322632,DCCA,logmap
7,0.7153142397218332,4.0847837924957275,DCCA,logmap
8,0.5771784549919624,3.8344223499298096,DCCA,logmap
9,0.732211031482238,4.080981016159058,DCCA,logmap
10,0.5885024604744665,3.7392354011535645,DCCA,logmap
11,0.5675111682362268,2.480816125869751,DCCA,logmap
12,0.6165032824131627,4.934764385223389,DCCA,logmap
13,0.5816410225570303,3.546254873275757,DCCA,logmap
14,0.6508471259500301,3.9755115509033203,DCCA,logmap
15,0.5505894928776426,3.5573644638061523,DCCA,logmap
16,0.9237113357749038,3.720482349395752,DCCA,logmap
17,0.6935308436759894,6.967527151107788,DCCA,logmap
18,0.6237741807637185,3.7459030151367188,DCCA,logmap
19,0.7261171194927502,4.209330797195435,DCCA,logmap
20,0.638972146929391,4.1263227462768555,DCCA,logmap
21,0.7452261421028612,4.174396514892578,DCCA,logmap
22,0.9376381495121485,3.6571617126464844,DCCA,logmap
23,0.6586966021580991,3.5864570140838623,DCCA,logmap
24,0.49058293289213845,3.614168405532837,DCCA,logmap
25,0.5486747709992467,4.086348056793213,DCCA,logmap
26,0.6813534344857831,3.4578981399536133,DCCA,logmap
27,0.6599360909466543,4.080906629562378,DCCA,logmap
28,0.6132126123289292,4.178628206253052,DCCA,logmap
29,0.5498227416003655,3.7422943115234375,DCCA,logmap
30,0.619126598766003,3.61040997505188,DCCA,logmap
31,0.7104287016061548,4.8597657680511475,DCCA,logmap
32,0.5510306422366967,3.360499858856201,DCCA,logmap
33,0.9370496748986266,6.511738061904907,DCCA,logmap
34,0.7478061600061263,4.739562749862671,DCCA,logmap
35,0.6742875903389993,4.250326871871948,DCCA,logmap
36,0.6145506569548707,3.234264373779297,DCCA,logmap
37,0.5212884206457152,4.963674306869507,DCCA,logmap
38,0.672306324333334,3.9112436771392822,DCCA,logmap
39,0.6269195190726856,3.7909164428710938,DCCA,logmap
40,0.6655521399288823,3.2060494422912598,DCCA,logmap
41,0.5532356093983583,2.7136757373809814,DCCA,logmap
42,0.665839207747633,3.697021484375,DCCA,logmap
43,0.7251486176208229,3.790907382965088,DCCA,logmap
44,0.5421310339492066,2.790109634399414,DCCA,logmap
45,0.4634419963946217,3.5923688411712646,DCCA,logmap
46,0.5752705803007544,3.7076683044433594,DCCA,logmap
47,0.7185930016582868,6.1061952114105225,DCCA,logmap
48,0.7279678057365636,4.09040641784668,DCCA,logmap
49,0.6661261196749397,4.116926670074463,DCCA,logmap
