data_id,r,duration,method,dataset,length
0,0.6675606461456385,0.010372161865234375,FastICA,logmap,2187
1,0.6939712899311014,0.010658502578735352,FastICA,logmap,2187
2,0.6982735476763392,0.010609626770019531,FastICA,logmap,2187
3,0.6819210335359255,0.011261701583862305,FastICA,logmap,2187
4,0.5795003959061432,0.012885570526123047,FastICA,logmap,2187
5,0.689106789517035,0.012336492538452148,FastICA,logmap,2187
6,0.6306788886543258,0.011009693145751953,FastICA,logmap,2187
7,0.7683639153685671,0.010995626449584961,FastICA,logmap,2187
8,0.6350185157334158,0.011592864990234375,FastICA,logmap,2187
9,0.7895342389264379,0.010292768478393555,FastICA,logmap,2187
10,0.6223925928951217,0.010964155197143555,FastICA,logmap,2187
11,0.6618858058514278,0.009879350662231445,FastICA,logmap,2187
12,0.7136744863300264,0.011336088180541992,FastICA,logmap,2187
13,0.6494662817046382,0.011391639709472656,FastICA,logmap,2187
14,0.7230263928806543,0.010706424713134766,FastICA,logmap,2187
15,0.5735248228452446,0.010599851608276367,FastICA,logmap,2187
16,0.9124352185910087,0.010988235473632812,FastICA,logmap,2187
17,0.6627538965047699,0.010176420211791992,FastICA,logmap,2187
18,0.6796967598668865,0.01056671142578125,FastICA,logmap,2187
19,0.7680608416494393,0.011028528213500977,FastICA,logmap,2187
20,0.6946087742283056,0.010683536529541016,FastICA,logmap,2187
21,0.763705329353567,0.010598182678222656,FastICA,logmap,2187
22,0.9085207173103248,0.009920835494995117,FastICA,logmap,2187
23,0.6963779611001708,0.010531902313232422,FastICA,logmap,2187
24,0.5330267119569038,0.011244773864746094,FastICA,logmap,2187
25,0.6319246871108496,0.010709285736083984,FastICA,logmap,2187
26,0.7097004203251666,0.01108098030090332,FastICA,logmap,2187
27,0.6967523952673448,0.010909080505371094,FastICA,logmap,2187
28,0.6784214894730615,0.011022329330444336,FastICA,logmap,2187
29,0.6323247155904952,0.010648727416992188,FastICA,logmap,2187
30,0.6695812677906643,0.010727167129516602,FastICA,logmap,2187
31,0.7253181113922352,0.012443065643310547,FastICA,logmap,2187
32,0.6229755657899948,0.010882377624511719,FastICA,logmap,2187
33,0.8774336590467972,0.011980295181274414,FastICA,logmap,2187
34,0.6903354520666212,0.009900808334350586,FastICA,logmap,2187
35,0.730300281564611,0.010653018951416016,FastICA,logmap,2187
36,0.673813524055359,0.012070894241333008,FastICA,logmap,2187
37,0.6041421674350086,0.01070261001586914,FastICA,logmap,2187
38,0.7086469750634039,0.01092386245727539,FastICA,logmap,2187
39,0.6720082355773435,0.011263132095336914,FastICA,logmap,2187
40,0.7244435436098715,0.01029205322265625,FastICA,logmap,2187
41,0.66555775130599,0.010600090026855469,FastICA,logmap,2187
42,0.7053125927971816,0.011999368667602539,FastICA,logmap,2187
43,0.7361739532359308,0.010707378387451172,FastICA,logmap,2187
44,0.6281635760370587,0.010890483856201172,FastICA,logmap,2187
45,0.5596792943940254,0.011241674423217773,FastICA,logmap,2187
46,0.6289027297346,0.010612010955810547,FastICA,logmap,2187
47,0.7477207712563267,0.010294437408447266,FastICA,logmap,2187
48,0.7592350605239854,0.010190248489379883,FastICA,logmap,2187
49,0.7071613442118448,0.01061105728149414,FastICA,logmap,2187
