data_id,r,duration,method,dataset,length
0,0.7020065964538487,0.3372836112976074,KernelPCA,logmap,4242
1,0.7184533302614738,0.322033166885376,KernelPCA,logmap,4242
2,0.7224129240695691,0.3191416263580322,KernelPCA,logmap,4242
3,0.7123428785788816,0.3868751525878906,KernelPCA,logmap,4242
4,0.5821967450643832,0.3195364475250244,KernelPCA,logmap,4242
5,0.7251755101712821,0.2886924743652344,KernelPCA,logmap,4242
6,0.6091911728579197,0.28823089599609375,KernelPCA,logmap,4242
7,0.7611606845007954,0.3220863342285156,KernelPCA,logmap,4242
8,0.6373390002198432,0.3084449768066406,KernelPCA,logmap,4242
9,0.774521191242739,0.30564212799072266,KernelPCA,logmap,4242
10,0.6522034645962322,0.30603671073913574,KernelPCA,logmap,4242
11,0.6374856605499855,0.3027307987213135,KernelPCA,logmap,4242
12,0.6625621956628549,0.3042745590209961,KernelPCA,logmap,4242
13,0.6692055033676886,0.30321431159973145,KernelPCA,logmap,4242
14,0.7217293558193395,0.3057873249053955,KernelPCA,logmap,4242
15,0.5548418235579718,0.3233175277709961,KernelPCA,logmap,4242
16,0.9192777730862302,0.30525875091552734,KernelPCA,logmap,4242
17,0.754679819464489,0.30491137504577637,KernelPCA,logmap,4242
18,0.6850463571037771,0.3057701587677002,KernelPCA,logmap,4242
19,0.769853382033035,0.30576014518737793,KernelPCA,logmap,4242
20,0.6847282014405474,0.30320286750793457,KernelPCA,logmap,4242
21,0.7861120848665691,0.3014853000640869,KernelPCA,logmap,4242
22,0.8922129786822077,0.33948421478271484,KernelPCA,logmap,4242
23,0.7176860052774366,0.3125457763671875,KernelPCA,logmap,4242
24,0.58180240699286,0.3028392791748047,KernelPCA,logmap,4242
25,0.6008940282564501,0.31283140182495117,KernelPCA,logmap,4242
26,0.7457800072175843,0.31090402603149414,KernelPCA,logmap,4242
27,0.7162844246645291,0.31174707412719727,KernelPCA,logmap,4242
28,0.6615473696135656,0.30431103706359863,KernelPCA,logmap,4242
29,0.5030842879052344,0.3105165958404541,KernelPCA,logmap,4242
30,0.6638087212291759,0.30376124382019043,KernelPCA,logmap,4242
31,0.7114253052055446,0.2910027503967285,KernelPCA,logmap,4242
32,0.597434223952002,0.2910623550415039,KernelPCA,logmap,4242
33,0.8961328773455294,0.2926197052001953,KernelPCA,logmap,4242
34,0.8062208121706916,0.2915647029876709,KernelPCA,logmap,4242
35,0.7207129602190687,0.3036620616912842,KernelPCA,logmap,4242
36,0.681640655433653,0.3985722064971924,KernelPCA,logmap,4242
37,0.5658150889980497,0.443988561630249,KernelPCA,logmap,4242
38,0.713375969624022,0.31976985931396484,KernelPCA,logmap,4242
39,0.6937991817797294,0.3489198684692383,KernelPCA,logmap,4242
40,0.7233847039996579,0.2973136901855469,KernelPCA,logmap,4242
41,0.5364731015745368,0.3051328659057617,KernelPCA,logmap,4242
42,0.7088763430131921,0.41832470893859863,KernelPCA,logmap,4242
43,0.7762913644888945,0.3045926094055176,KernelPCA,logmap,4242
44,0.5353970125537093,0.3637404441833496,KernelPCA,logmap,4242
45,0.5525225953476067,0.3093836307525635,KernelPCA,logmap,4242
46,0.6266442503647369,0.307114839553833,KernelPCA,logmap,4242
47,0.7495375159654003,0.30376338958740234,KernelPCA,logmap,4242
48,0.7619282283671744,0.30210256576538086,KernelPCA,logmap,4242
49,0.7384703762873676,0.3018779754638672,KernelPCA,logmap,4242
