data_id,r,duration,method,dataset,length
0,0.7026366117388523,0.009184598922729492,PCA,logmap,2187
1,0.7165967483141875,0.008510589599609375,PCA,logmap,2187
2,0.720410382702529,0.008557319641113281,PCA,logmap,2187
3,0.6920719310733566,0.008550167083740234,PCA,logmap,2187
4,0.5853584371107778,0.008649110794067383,PCA,logmap,2187
5,0.6914456648953865,0.008600950241088867,PCA,logmap,2187
6,0.6516185979847525,0.008672952651977539,PCA,logmap,2187
7,0.7679599355568032,0.008684873580932617,PCA,logmap,2187
8,0.6499654461869295,0.00871133804321289,PCA,logmap,2187
9,0.772494933007344,0.008639812469482422,PCA,logmap,2187
10,0.6644230850530831,0.008516788482666016,PCA,logmap,2187
11,0.6222535707539548,0.008571863174438477,PCA,logmap,2187
12,0.7089469582063372,0.008687496185302734,PCA,logmap,2187
13,0.6719119531506426,0.008588314056396484,PCA,logmap,2187
14,0.7416419163791117,0.008640527725219727,PCA,logmap,2187
15,0.5124944733476388,0.00866079330444336,PCA,logmap,2187
16,0.9146726150184841,0.008610010147094727,PCA,logmap,2187
17,0.7232092742081779,0.013686656951904297,PCA,logmap,2187
18,0.6658668323617895,0.008728981018066406,PCA,logmap,2187
19,0.7745118041984757,0.008661508560180664,PCA,logmap,2187
20,0.7176219355609024,0.008675575256347656,PCA,logmap,2187
21,0.7896677920688602,0.008585691452026367,PCA,logmap,2187
22,0.8794301658045821,0.008669614791870117,PCA,logmap,2187
23,0.7282470474853883,0.008654117584228516,PCA,logmap,2187
24,0.567101613502948,0.008751392364501953,PCA,logmap,2187
25,0.6037340012175891,0.008616924285888672,PCA,logmap,2187
26,0.746735274690726,0.008589982986450195,PCA,logmap,2187
27,0.7376839296281464,0.008650064468383789,PCA,logmap,2187
28,0.6819572014373178,0.008633136749267578,PCA,logmap,2187
29,0.4923469895304459,0.00864267349243164,PCA,logmap,2187
30,0.668416209133592,0.008703231811523438,PCA,logmap,2187
31,0.7337272178562906,0.008593559265136719,PCA,logmap,2187
32,0.5256520934269868,0.008524417877197266,PCA,logmap,2187
33,0.8847482400537319,0.008680105209350586,PCA,logmap,2187
34,0.7953375788454822,0.008628606796264648,PCA,logmap,2187
35,0.7518946225374152,0.008646249771118164,PCA,logmap,2187
36,0.7051745859879183,0.008572578430175781,PCA,logmap,2187
37,0.4151875874078122,0.008612394332885742,PCA,logmap,2187
38,0.7073143683285718,0.008623600006103516,PCA,logmap,2187
39,0.7189187128697269,0.008688211441040039,PCA,logmap,2187
40,0.721878973192375,0.00866246223449707,PCA,logmap,2187
41,0.5691445045226822,0.008569955825805664,PCA,logmap,2187
42,0.729315592631364,0.008666753768920898,PCA,logmap,2187
43,0.7671027707226641,0.008626937866210938,PCA,logmap,2187
44,0.5354221348035813,0.008543968200683594,PCA,logmap,2187
45,0.559086872992149,0.008591651916503906,PCA,logmap,2187
46,0.6301030907520657,0.008617639541625977,PCA,logmap,2187
47,0.7584391067813737,0.008625268936157227,PCA,logmap,2187
48,0.7516553594744196,0.00868988037109375,PCA,logmap,2187
49,0.7334365215910897,0.008681058883666992,PCA,logmap,2187
