data_id,r,duration,method,dataset
0,0.7195304385070239,0.05910325050354004,PCA,logmap
1,0.7392623291364315,0.06893253326416016,PCA,logmap
2,0.7234108962648285,0.09161233901977539,PCA,logmap
3,0.7104821057920345,0.09980082511901855,PCA,logmap
4,0.5920988737268804,0.09577059745788574,PCA,logmap
5,0.717170391130085,0.09246468544006348,PCA,logmap
6,0.6276119047230134,0.09195232391357422,PCA,logmap
7,0.7537064674439872,0.09168481826782227,PCA,logmap
8,0.6475074718486828,0.09153556823730469,PCA,logmap
9,0.7677149869232738,0.09161710739135742,PCA,logmap
10,0.659954947398721,0.09142112731933594,PCA,logmap
11,0.6109000749017239,0.09183406829833984,PCA,logmap
12,0.6672585645904137,0.09162497520446777,PCA,logmap
13,0.6426425369216543,0.09127950668334961,PCA,logmap
14,0.72797436429649,0.09127259254455566,PCA,logmap
15,0.4758960063490493,0.0936276912689209,PCA,logmap
16,0.9119726899497796,0.09268951416015625,PCA,logmap
17,0.7524884924425376,0.09584665298461914,PCA,logmap
18,0.6891549420353187,0.10437655448913574,PCA,logmap
19,0.7695908072554042,0.0919184684753418,PCA,logmap
20,0.7083162422974081,0.09159159660339355,PCA,logmap
21,0.7843474200023591,0.09203243255615234,PCA,logmap
22,0.888091576415901,0.08788681030273438,PCA,logmap
23,0.7228563210047351,0.08675694465637207,PCA,logmap
24,0.5838077120408759,0.08792781829833984,PCA,logmap
25,0.6331157900702353,0.0867605209350586,PCA,logmap
26,0.7447560410157077,0.08784651756286621,PCA,logmap
27,0.7271112888353368,0.08696722984313965,PCA,logmap
28,0.6740744815483332,0.09018945693969727,PCA,logmap
29,0.5599231943027249,0.08724498748779297,PCA,logmap
30,0.6830348223124353,0.08849501609802246,PCA,logmap
31,0.7030821495981685,0.08719372749328613,PCA,logmap
32,0.5626658016300607,0.08798885345458984,PCA,logmap
33,0.8951740685959072,0.08766508102416992,PCA,logmap
34,0.7920044290685394,0.08918523788452148,PCA,logmap
35,0.735945706903183,0.08736491203308105,PCA,logmap
36,0.6822846123805487,0.08768153190612793,PCA,logmap
37,0.5556713116317848,0.08736968040466309,PCA,logmap
38,0.7288941024074743,0.08795619010925293,PCA,logmap
39,0.7059253224837504,0.08730411529541016,PCA,logmap
40,0.7327356269306518,0.08830022811889648,PCA,logmap
41,0.5590138423219129,0.08727192878723145,PCA,logmap
42,0.717117744093805,0.08907318115234375,PCA,logmap
43,0.7888976415959663,0.0880434513092041,PCA,logmap
44,0.5457679723420478,0.08918523788452148,PCA,logmap
45,0.4183326902508172,0.08933234214782715,PCA,logmap
46,0.6470864567583656,0.08827710151672363,PCA,logmap
47,0.7552622193176457,0.08741068840026855,PCA,logmap
48,0.7639428776737432,0.08789849281311035,PCA,logmap
49,0.7401667378371966,0.08780574798583984,PCA,logmap
