data_id,r,duration,method,dataset
0,0.8496693479085485,61.55973792076111,AniSOM,logmap
1,0.7514637395119842,62.10101127624512,AniSOM,logmap
2,0.8930259772308725,60.7753963470459,AniSOM,logmap
3,0.8133310359162415,62.07739019393921,AniSOM,logmap
4,0.6771155438653454,59.59771466255188,AniSOM,logmap
5,0.9247693441181641,62.16766095161438,AniSOM,logmap
6,0.7493036952634871,61.978647232055664,AniSOM,logmap
7,0.8672038673569389,62.47996473312378,AniSOM,logmap
8,0.7378795131426175,61.96226644515991,AniSOM,logmap
9,0.8497846655673141,59.90878915786743,AniSOM,logmap
10,0.7158055428044042,62.46440148353577,AniSOM,logmap
11,0.9628342586042,61.23239207267761,AniSOM,logmap
12,0.7397938420706338,61.62426495552063,AniSOM,logmap
13,0.8283039502690948,61.885268449783325,AniSOM,logmap
14,0.8659580144272416,61.41019296646118,AniSOM,logmap
15,0.8291854359493837,60.871373653411865,AniSOM,logmap
16,0.861763349395431,61.15357851982117,AniSOM,logmap
17,0.8241523479304662,61.66636943817139,AniSOM,logmap
18,0.6908182934435396,63.13152027130127,AniSOM,logmap
19,0.7737451152809431,61.233787298202515,AniSOM,logmap
20,0.8411810106419852,61.22689151763916,AniSOM,logmap
21,0.5701962632948375,59.78468871116638,AniSOM,logmap
22,0.9790417971735529,61.46361255645752,AniSOM,logmap
23,0.7293123401729737,61.93427634239197,AniSOM,logmap
24,0.5845033131204074,60.90795397758484,AniSOM,logmap
25,0.7809782820570574,61.70662784576416,AniSOM,logmap
26,0.796098412649411,60.51598787307739,AniSOM,logmap
27,0.8687416710240793,61.50942611694336,AniSOM,logmap
28,0.7780981071681484,61.374685525894165,AniSOM,logmap
29,0.7792513093174551,61.437389850616455,AniSOM,logmap
30,0.7937362235847572,60.28091812133789,AniSOM,logmap
31,0.850553470987303,60.87219190597534,AniSOM,logmap
32,0.7783978024242687,61.6423122882843,AniSOM,logmap
33,0.7366254618245742,61.33584427833557,AniSOM,logmap
34,0.7357921265661562,61.38189101219177,AniSOM,logmap
35,0.8020183869112695,61.43775224685669,AniSOM,logmap
36,0.8150528650079482,61.180739879608154,AniSOM,logmap
37,0.7202259076920521,60.60944104194641,AniSOM,logmap
38,0.8708625903941768,61.87761187553406,AniSOM,logmap
39,0.8490528577433026,61.705424547195435,AniSOM,logmap
40,0.8114767989093137,61.8546040058136,AniSOM,logmap
41,0.9213735606483399,61.4962797164917,AniSOM,logmap
42,0.8183636475766739,61.211564779281616,AniSOM,logmap
43,0.789026970089227,61.27980828285217,AniSOM,logmap
44,0.7570284611493647,61.711045026779175,AniSOM,logmap
45,0.5889118919209639,62.08240628242493,AniSOM,logmap
46,0.7353675983065976,62.12170886993408,AniSOM,logmap
47,0.861745854675112,61.365034341812134,AniSOM,logmap
48,0.7444996182001498,39.43284749984741,AniSOM,logmap
49,0.9080987225145284,39.98586821556091,AniSOM,logmap
