data_id,r,duration,method,dataset
0,0.6996099205241557,4.825187683105469,DynamicalComponentsAnalysis,logmap
1,0.7353380202638068,4.241685628890991,DynamicalComponentsAnalysis,logmap
2,0.719288558845328,3.5948803424835205,DynamicalComponentsAnalysis,logmap
3,0.6963761132420181,3.523878574371338,DynamicalComponentsAnalysis,logmap
4,0.5862043828118807,3.3699951171875,DynamicalComponentsAnalysis,logmap
5,0.6869645611123952,2.62269926071167,DynamicalComponentsAnalysis,logmap
6,0.6246378387513847,3.275341510772705,DynamicalComponentsAnalysis,logmap
7,0.7357684339548631,3.0159003734588623,DynamicalComponentsAnalysis,logmap
8,0.6399053073464366,3.500866413116455,DynamicalComponentsAnalysis,logmap
9,0.7609921637801127,3.5481860637664795,DynamicalComponentsAnalysis,logmap
10,0.6725543936855567,2.935584545135498,DynamicalComponentsAnalysis,logmap
11,0.582897503533153,2.9095406532287598,DynamicalComponentsAnalysis,logmap
12,0.6933377554477781,2.836899995803833,DynamicalComponentsAnalysis,logmap
13,0.6643738783751205,3.647394895553589,DynamicalComponentsAnalysis,logmap
14,0.7231122141582419,3.5881452560424805,DynamicalComponentsAnalysis,logmap
15,0.6190125083190176,3.16452693939209,DynamicalComponentsAnalysis,logmap
16,0.9793458183766052,3.6323940753936768,DynamicalComponentsAnalysis,logmap
17,0.7229342837299761,3.1004722118377686,DynamicalComponentsAnalysis,logmap
18,0.6788914951559664,3.345663070678711,DynamicalComponentsAnalysis,logmap
19,0.7543085549523779,3.2195608615875244,DynamicalComponentsAnalysis,logmap
20,0.7006395179678543,4.155323505401611,DynamicalComponentsAnalysis,logmap
21,0.7666814288421561,3.4268300533294678,DynamicalComponentsAnalysis,logmap
22,0.8332090633186527,3.3225812911987305,DynamicalComponentsAnalysis,logmap
23,0.7120055891557757,3.4538726806640625,DynamicalComponentsAnalysis,logmap
24,0.5772529340438024,3.3241333961486816,DynamicalComponentsAnalysis,logmap
25,0.6353285298063299,3.9226388931274414,DynamicalComponentsAnalysis,logmap
26,0.7260929199451271,3.236288547515869,DynamicalComponentsAnalysis,logmap
27,0.7199430662142107,2.6781702041625977,DynamicalComponentsAnalysis,logmap
28,0.6554219070762194,3.3940463066101074,DynamicalComponentsAnalysis,logmap
29,0.6322393296666979,3.2162230014801025,DynamicalComponentsAnalysis,logmap
30,0.6754803176276128,2.9802188873291016,DynamicalComponentsAnalysis,logmap
31,0.7173995133735437,2.7128751277923584,DynamicalComponentsAnalysis,logmap
32,0.6325954188149148,3.59262752532959,DynamicalComponentsAnalysis,logmap
33,0.935724492859222,3.1545159816741943,DynamicalComponentsAnalysis,logmap
34,0.7888481696622238,3.2578377723693848,DynamicalComponentsAnalysis,logmap
35,0.731359242217751,3.226957082748413,DynamicalComponentsAnalysis,logmap
36,0.663994908816168,3.317436933517456,DynamicalComponentsAnalysis,logmap
37,0.6187844735898674,3.2507870197296143,DynamicalComponentsAnalysis,logmap
38,0.7181777594135095,3.5910120010375977,DynamicalComponentsAnalysis,logmap
39,0.6972329707837812,3.1358420848846436,DynamicalComponentsAnalysis,logmap
40,0.724934648225839,3.4770755767822266,DynamicalComponentsAnalysis,logmap
41,0.70980601988084,2.6798877716064453,DynamicalComponentsAnalysis,logmap
42,0.7007275765462232,3.425081968307495,DynamicalComponentsAnalysis,logmap
43,0.7716588417386044,2.985135078430176,DynamicalComponentsAnalysis,logmap
44,0.6345349023437348,3.706425428390503,DynamicalComponentsAnalysis,logmap
45,0.5511020202648703,3.3717195987701416,DynamicalComponentsAnalysis,logmap
46,0.6423513400853773,3.5349011421203613,DynamicalComponentsAnalysis,logmap
47,0.7383992557962447,3.2739620208740234,DynamicalComponentsAnalysis,logmap
48,0.7628908319193289,3.2210853099823,DynamicalComponentsAnalysis,logmap
49,0.7383919576022717,2.620877742767334,DynamicalComponentsAnalysis,logmap
