data_id,r,duration,method,dataset,length
0,0.8537280362831385,459.6078932285309,AniSOM,logmap,60000
1,0.8825411938307558,466.72131752967834,AniSOM,logmap,60000
2,0.8489220150005522,477.5156853199005,AniSOM,logmap,60000
3,0.860887768521246,468.14928913116455,AniSOM,logmap,60000
4,0.7113275806945021,437.11924958229065,AniSOM,logmap,60000
5,0.9349762187717372,442.6092987060547,AniSOM,logmap,60000
6,0.7183451485752412,473.46971249580383,AniSOM,logmap,60000
7,0.782162162903838,453.66864109039307,AniSOM,logmap,60000
8,0.8006998599534345,492.79624342918396,AniSOM,logmap,60000
9,0.7882642934826595,451.43166422843933,AniSOM,logmap,60000
10,0.8262790060319293,458.4764771461487,AniSOM,logmap,60000
11,0.9925197472731975,448.8886618614197,AniSOM,logmap,60000
12,0.8312409005209244,438.88889503479004,AniSOM,logmap,60000
13,0.8313090884544304,458.85152077674866,AniSOM,logmap,60000
14,0.8428407932538067,470.1291832923889,AniSOM,logmap,60000
15,0.7927377319029663,482.70381927490234,AniSOM,logmap,60000
16,0.8458349494895113,450.76364731788635,AniSOM,logmap,60000
17,0.8589923287555791,443.4091098308563,AniSOM,logmap,60000
18,0.8194994898593625,445.0112657546997,AniSOM,logmap,60000
19,0.8438629109557569,453.5749068260193,AniSOM,logmap,60000
20,0.8362861530998418,467.2589545249939,AniSOM,logmap,60000
21,0.8430306729566083,461.1101722717285,AniSOM,logmap,60000
22,0.9759432461271469,436.7469048500061,AniSOM,logmap,60000
23,0.8365310166726843,447.51932168006897,AniSOM,logmap,60000
24,0.6439140104810079,479.65761852264404,AniSOM,logmap,60000
25,0.761302741050462,478.4070608615875,AniSOM,logmap,60000
26,0.8544202297662706,479.73320746421814,AniSOM,logmap,60000
27,0.8664515799901182,495.7453508377075,AniSOM,logmap,60000
28,0.8012196874863291,473.48605489730835,AniSOM,logmap,60000
29,0.7962258470902214,482.5067141056061,AniSOM,logmap,60000
30,0.8283292640842381,467.07853388786316,AniSOM,logmap,60000
31,0.9007453839765291,477.4135801792145,AniSOM,logmap,60000
32,0.739713007604426,487.5274107456207,AniSOM,logmap,60000
33,0.7691568774126197,463.15741777420044,AniSOM,logmap,60000
34,0.7780501004090817,483.8137104511261,AniSOM,logmap,60000
35,0.8723563604712868,475.08694887161255,AniSOM,logmap,60000
36,0.7405766003313115,478.9617557525635,AniSOM,logmap,60000
37,0.7120316535032918,471.5931615829468,AniSOM,logmap,60000
38,0.877600236090501,477.05200457572937,AniSOM,logmap,60000
39,0.840965343627221,462.6967577934265,AniSOM,logmap,60000
40,0.8760352020538966,472.624094247818,AniSOM,logmap,60000
41,0.9212486690597896,452.34252882003784,AniSOM,logmap,60000
42,0.8584233678466406,470.5116128921509,AniSOM,logmap,60000
43,0.8350588700309709,463.8925840854645,AniSOM,logmap,60000
44,0.8624658985751674,458.4400677680969,AniSOM,logmap,60000
45,0.7225725667779804,459.745902299881,AniSOM,logmap,60000
46,0.780719545612439,458.57508397102356,AniSOM,logmap,60000
47,0.8805465186461366,452.9463880062103,AniSOM,logmap,60000
48,0.7480277099060582,267.1570813655853,AniSOM,logmap,60000
49,0.8729568778556899,271.6021225452423,AniSOM,logmap,60000
