data_id,r,duration,method,dataset,length
0,0.03458176609595958,0.143629789352417,random,logmap,30940
1,0.034974363158309096,0.17122387886047363,random,logmap,30940
2,0.0376421327095595,0.17363619804382324,random,logmap,30940
3,0.033984329462235015,0.17214560508728027,random,logmap,30940
4,0.03547667666684847,0.17202329635620117,random,logmap,30940
5,0.018196495122700083,0.17179512977600098,random,logmap,30940
6,0.03675123105234133,0.17047929763793945,random,logmap,30940
7,0.0345291905704638,0.17101240158081055,random,logmap,30940
8,0.0339771274090136,0.17197489738464355,random,logmap,30940
9,0.036487896764721715,0.171250581741333,random,logmap,30940
10,0.04125390087362946,0.17052674293518066,random,logmap,30940
11,0.017770837671631574,0.17010140419006348,random,logmap,30940
12,0.0211813297217584,0.15999269485473633,random,logmap,30940
13,0.034412745298556674,0.15941953659057617,random,logmap,30940
14,0.03789825145390251,0.1617143154144287,random,logmap,30940
15,0.03698819453990651,0.16202402114868164,random,logmap,30940
16,0.013779276425397415,0.16024327278137207,random,logmap,30940
17,0.033832147044983385,0.17346858978271484,random,logmap,30940
18,0.03527277015579783,0.17147421836853027,random,logmap,30940
19,0.03988383176039211,0.17306756973266602,random,logmap,30940
20,0.03565609514870401,0.17379546165466309,random,logmap,30940
21,0.03542828726050229,0.17288565635681152,random,logmap,30940
22,0.017932700519943817,0.16934990882873535,random,logmap,30940
23,0.03325657534782655,0.17150521278381348,random,logmap,30940
24,0.03453744877612244,0.17127084732055664,random,logmap,30940
25,0.035248417527453814,0.17169952392578125,random,logmap,30940
26,0.03398361856864194,0.17265987396240234,random,logmap,30940
27,0.03523906259301549,0.17018389701843262,random,logmap,30940
28,0.035353470371110106,0.17086172103881836,random,logmap,30940
29,0.03493923016435477,0.17183446884155273,random,logmap,30940
30,0.035905322538254035,0.1725752353668213,random,logmap,30940
31,0.031561844238861284,0.1715104579925537,random,logmap,30940
32,0.035381791939699266,0.1727464199066162,random,logmap,30940
33,0.009317165251813501,0.17224860191345215,random,logmap,30940
34,0.03543933595817138,0.17061686515808105,random,logmap,30940
35,0.0327826828973393,0.17323899269104004,random,logmap,30940
36,0.03493121501975301,0.17087054252624512,random,logmap,30940
37,0.04129261658741788,0.17178630828857422,random,logmap,30940
38,0.03623678659792685,0.17204689979553223,random,logmap,30940
39,0.03522350065494827,0.17107272148132324,random,logmap,30940
40,0.03210008087679231,0.17172503471374512,random,logmap,30940
41,0.009770415149519516,0.17154598236083984,random,logmap,30940
42,0.03192372287872251,0.20386409759521484,random,logmap,30940
43,0.030362858097257014,0.19995737075805664,random,logmap,30940
44,0.03923677719129431,0.15112829208374023,random,logmap,30940
45,0.03715143364989815,0.16053533554077148,random,logmap,30940
46,0.035543546689085895,0.1590430736541748,random,logmap,30940
47,0.03829634648464201,0.15935063362121582,random,logmap,30940
48,0.036988243333088935,0.16013312339782715,random,logmap,30940
49,0.03889223124664369,0.1595766544342041,random,logmap,30940
